Date	Open	High	Low	Close	Adj Close	Volume	Location	Index	Open/Close Difference	High/Low Difference
1/10/20	$14,018	$14,021.65	$13,941.52	$13,957.97	$13,957.96973	3212970000	USA	NYSE	$60.15	$80.13
1/13/20	$13,980	$14,042.65	$13,963.87	$14,042.65	$14,042.65039	3456380000	USA	NYSE	($62.18)	$78.78
1/14/20	$14,024	$14,068.58	$14,005.63	$14,037.13	$14,037.12988	3665130000	USA	NYSE	($12.90)	$62.95
1/15/20	$14,022	$14,089.94	$14,021.18	$14,053.23	$14,053.23047	3716840000	USA	NYSE	($30.93)	$68.76
1/16/20	$14,104	$14,142.31	$14,094.88	$14,141.78	$14,141.78027	3535080000	USA	NYSE	($38.25)	$47.43
1/17/20	$14,168	$14,183.26	$14,156.40	$14,183.20	$14,183.2002	3698170000	USA	NYSE	($15.06)	$26.86
1/21/20	$14,126	$14,153.02	$14,102.39	$14,109.98	$14,109.98047	4105340000	USA	NYSE	$16.14	$50.63
1/22/20	$14,148	$14,168.20	$14,104.06	$14,110.24	$14,110.24023	3619850000	USA	NYSE	$37.65	$64.14
1/23/20	$14,064	$14,109.59	$14,003.28	$14,102.04	$14,102.04004	3764860000	USA	NYSE	($37.76)	$106.31
1/24/20	$14,120	$14,120.02	$13,920.57	$13,978.47	$13,978.46973	3707130000	USA	NYSE	$141.55	$199.45
1/27/20	$13,747	$13,826.43	$13,742.01	$13,769.60	$13,769.59961	3823100000	USA	NYSE	($22.97)	$84.42
1/28/20	$13,813	$13,913.59	$13,798.34	$13,877.61	$13,877.61035	3526720000	USA	NYSE	($64.96)	$115.25
1/29/20	$13,913	$13,922.44	$13,843.79	$13,843.81	$13,843.80957	3584500000	USA	NYSE	$68.98	$78.65
1/30/20	$13,745	$13,869.64	$13,699.81	$13,861.92	$13,861.91992	3787250000	USA	NYSE	($116.72)	$169.83
1/31/20	$13,784	$13,788.22	$13,573.04	$13,614.10	$13,614.09961	4527830000	USA	NYSE	$169.71	$215.18
2/3/20	$13,656	$13,765.33	$13,655.89	$13,677.92	$13,677.91992	3757910000	USA	NYSE	($22.03)	$109.44
2/4/20	$13,826	$13,920.63	$13,826.10	$13,862.84	$13,862.83984	3995320000	USA	NYSE	($36.74)	$94.53
2/5/20	$13,964	$14,029.91	$13,947.59	$14,024.86	$14,024.86035	4117730000	USA	NYSE	($60.86)	$82.32
2/6/20	$14,067	$14,069.33	$14,023.48	$14,034.95	$14,034.9502	3868370000	USA	NYSE	$31.95	$45.85
2/7/20	$13,988	$13,987.51	$13,912.04	$13,931.93	$13,931.92969	3730650000	USA	NYSE	$55.58	$75.47
